,id,title,original_title,release_date,budget,revenue,popularity,vote_average,vote_count,runtime,original_language,year
123,153518,The Angry Birds Movie,The Angry Birds Movie,2016-05-11,73000000,349779543,11.6008,6.285,4071,97,en,2016
124,136799,Trolls,Trolls,2016-10-13,125000000,347337803,8.4217,6.624,3855,92,en,2016
125,188927,Star Trek Beyond,Star Trek Beyond,2016-07-07,185000000,343471816,12.7128,6.793,7167,122,en,2016
126,291805,Now You See Me 2,Now You See Me 2,2016-06-02,120000000,334897606,11.8329,6.825,11685,129,en,2016
127,311324,The Great Wall,The Great Wall,2016-12-16,150000000,331957105,8.8074,6.033,5599,103,en,2016
128,259693,The Conjuring 2,The Conjuring 2,2016-06-08,40000000,322819915,17.0554,7.294,9289,134,en,2016
129,173897,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,2016-12-23,40000000,312242626,0.4138,6.107,3522,107,en,2016
130,360814,Dangal,दंगल,2016-12-21,10400000,311000000,6.3797,7.873,1180,161,hi,2016
131,274870,Passengers,Passengers,2016-12-21,110000000,303144152,7.6667,6.957,14348,116,en,2016
132,241259,Alice Through the Looking Glass,Alice Through the Looking Glass,2016-05-25,170000000,299457024,9.2165,6.6,6828,113,en,2016
133,283366,Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,2016-09-28,110000000,296482446,9.333,6.84,10544,127,en,2016
134,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-05-30,135000000,245623848,6.5437,6.061,3839,112,en,2016
135,363676,Sully,Sully,2016-09-07,60000000,240800000,6.8327,7.205,7781,96,en,2016
136,121856,Assassin's Creed,Assassin's Creed,2016-12-21,125000000,240700000,4.5798,5.4,8174,116,en,2016
137,381284,Hidden Figures,Hidden Figures,2016-12-10,25000000,235957472,16.4366,8.045,10534,127,en,2016
138,43074,Ghostbusters,Ghostbusters,2016-07-14,144000000,229147509,8.1988,5.343,6831,117,en,2016
139,207932,Inferno,Inferno,2016-10-13,75000000,220021259,8.0543,6.1,6704,122,en,2016
140,302699,Central Intelligence,Central Intelligence,2016-06-15,50000000,216972543,8.3463,6.418,6410,107,en,2016
141,95610,Bridget Jones's Baby,Bridget Jones's Baby,2016-09-14,35000000,211952420,8.5649,6.404,3104,123,en,2016
142,296096,Me Before You,Me Before You,2016-06-01,20000000,207945075,18.0197,7.929,13410,110,en,2016
143,267860,London Has Fallen,London Has Fallen,2016-03-02,60000000,205754447,6.0275,6.224,5152,99,en,2016
144,329865,Arrival,Arrival,2016-11-10,47000000,203388186,20.2266,7.631,19584,116,en,2016
145,267935,The BFG,The BFG,2016-06-01,140000000,195243411,9.4896,6.289,3664,117,en,2016
146,381902,The Monkey King 2,西遊記之孫悟空三打白骨精,2016-01-22,68490000,193677158,3.4272,5.886,114,120,zh,2016
147,372399,A Aa,అ ఆ,2016-06-02,87933055,189432924,2.5746,6.603,29,152,te,2016
149,376659,Bad Moms,Bad Moms,2016-07-28,20000000,183936074,6.1164,6.5,4285,100,en,2016
150,332210,Storks,Storks,2016-09-22,70000000,182379278,5.1468,6.68,2542,87,en,2016
151,262504,Allegiant,Allegiant,2016-03-09,110000000,179246868,7.9462,6.1,7035,120,en,2016
152,324786,Hacksaw Ridge,Hacksaw Ridge,2016-10-07,40000000,175302354,27.2381,8.193,15038,139,en,2016
153,346685,The Girl on the Train,The Girl on the Train,2016-10-05,45000000,173200000,6.4911,6.44,6086,112,en,2016
154,415214,Operation Mekong,湄公河行动,2016-09-30,30200000,173000000,2.8557,6.991,282,124,zh,2016
155,290595,The Huntsman: Winter's War,The Huntsman: Winter's War,2016-04-06,115000000,164989338,8.3595,6.295,5077,114,en,2016
156,333484,The Magnificent Seven,The Magnificent Seven,2016-09-14,90000000,162400000,10.5206,6.495,6479,132,en,2016
157,343611,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,2016-10-19,60000000,162100000,9.6787,6.027,5400,118,en,2016
158,300669,Don't Breathe,Don't Breathe,2016-06-08,9900000,158906350,6.4093,7.014,8051,89,en,2016
159,302946,The Accountant,The Accountant,2016-10-13,44000000,155160045,9.4944,7.138,7456,128,en,2016
160,205584,Gods of Egypt,Gods of Egypt,2016-02-25,140000000,150680864,8.0774,5.698,4394,127,en,2016
161,345911,Lights Out,Lights Out,2016-07-21,4900000,149368835,5.4525,6.374,4177,81,en,2016
162,294272,Pete's Dragon,Pete's Dragon,2016-08-10,65000000,143695338,4.9471,6.388,2346,103,en,2016
163,223702,Sausage Party,Sausage Party,2016-07-11,19000000,140705322,7.7772,5.754,7765,89,en,2016
164,334543,Lion,Lion,2016-11-24,12000000,140312928,6.1106,8.038,6996,118,en,2016
165,270774,Skiptrace,Skiptrace,2016-07-21,32000000,136579287,3.439,5.771,773,107,en,2016
166,278924,Mechanic: Resurrection,Mechanic: Resurrection,2016-08-25,40000000,125729635,7.1757,6.068,3706,99,en,2016
167,323675,Ride Along 2,Ride Along 2,2016-01-14,40000000,124827316,3.3813,6.255,1813,102,en,2016
168,296524,Deepwater Horizon,Deepwater Horizon,2016-09-28,110000000,121790376,6.3177,6.9,4957,107,en,2016
169,369885,Allied,Allied,2016-11-23,106000000,119520023,5.7906,6.806,4836,124,en,2016
170,332567,The Shallows,The Shallows,2016-06-24,17000000,119100758,7.2252,6.358,5373,86,en,2016
171,316727,The Purge: Election Year,The Purge: Election Year,2016-06-29,10000000,118587880,6.7034,6.38,5537,109,en,2016
172,356305,Why Him?,Why Him?,2016-12-22,38000000,118102725,5.9192,6.386,4441,111,en,2016
173,384682,Office Christmas Party,Office Christmas Party,2016-11-25,45000000,114500000,2.919,5.716,2236,105,en,2016
174,259694,How to Be Single,How to Be Single,2016-02-08,38000000,112343513,5.6533,6.256,3373,110,en,2016
175,333371,10 Cloverfield Lane,10 Cloverfield Lane,2016-03-10,15000000,110216998,7.5103,7.006,8782,104,en,2016
176,299687,The 5th Wave,The 5th Wave,2016-01-14,38000000,109906372,5.6696,5.938,6082,112,en,2016
177,342473,Ballerina,Ballerina,2016-12-14,30000000,109573511,7.1434,7.2,2004,89,en,2016
178,325133,Neighbors 2: Sorority Rising,Neighbors 2: Sorority Rising,2016-05-04,35000000,108007109,4.1841,5.816,4657,92,en,2016
179,402331,Hard Target 2,Hard Target 2,2016-07-14,0,104766103,3.9187,6.236,318,104,en,2016
180,416249,Cold War II,寒戰 II,2016-07-08,0,103197501,3.5062,6.3,126,110,cn,2016
181,377447,Railroad Tigers,铁道飞虎,2016-12-23,50000000,102205175,2.3966,6.088,154,124,zh,2016
182,376812,Sultan,सुल्तान,2016-07-06,10400000,102000000,1.2508,6.842,265,170,hi,2016
183,291870,Dirty Grandpa,Dirty Grandpa,2016-01-20,11500000,94100000,5.5885,5.938,4626,102,en,2016
184,271969,Ben-Hur,Ben-Hur,2016-08-17,100000000,94061311,4.7755,5.8,1805,125,en,2016
185,303858,Money Monster,Money Monster,2016-05-12,27000000,93282604,2.9674,6.4,3170,99,en,2016
186,302688,My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,2016-03-23,18000000,90632641,3.9871,5.975,1086,94,en,2016
187,411268,Line Walker,使徒行者,2016-08-11,0,88658655,1.277,6.436,78,108,cn,2016
188,345920,Collateral Beauty,Collateral Beauty,2016-12-15,36000000,88528280,3.8279,7.218,5578,97,en,2016
189,396535,Train to Busan,부산행,2016-07-20,8500000,87547518,19.8111,7.8,8519,118,ko,2016
190,308266,War Dogs,War Dogs,2016-08-18,50000000,86234523,9.8894,6.945,5567,114,en,2016
191,328387,Nerve,Nerve,2016-06-27,19000000,85241496,3.3021,6.997,7059,96,en,2016
192,271706,Big Fish & Begonia,大鱼海棠,2016-07-08,4531653,84552250,4.311,7.33,495,101,zh,2016
193,335796,Ouija: Origin of Evil,Ouija: Origin of Evil,2016-10-20,9000000,81831866,5.1538,6.161,2653,99,en,2016
194,346672,Underworld: Blood Wars,Underworld: Blood Wars,2016-11-24,35000000,81093313,5.2126,5.922,3965,91,en,2016
195,334541,Manchester by the Sea,Manchester by the Sea,2016-11-17,9000000,79000000,8.2801,7.553,6466,138,en,2016
196,323676,The Boss,The Boss,2016-04-07,29000000,78844582,2.788,5.8,1405,99,en,2016
197,315011,Shin Godzilla,シン・ゴジラ,2016-07-29,15000000,78053145,7.4734,7.245,1599,120,ja,2016
198,316023,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016-07-07,33000000,77100000,2.8433,6.046,2638,98,en,2016
199,313297,Kubo and the Two Strings,Kubo and the Two Strings,2016-08-18,60000000,76249438,5.709,7.636,3856,102,en,2016
200,181808,Star Wars: The Last Jedi,Star Wars: The Last Jedi,2017-12-13,300000000,1334407706,24.3963,6.747,16474,152,en,2017
201,321612,Beauty and the Beast,Beauty and the Beast,2017-03-16,160000000,1266115964,15.504,6.967,16081,129,en,2017
202,337339,The Fate of the Furious,The Fate of the Furious,2017-04-12,250000000,1236000000,9.5982,6.852,10887,136,en,2017
203,324852,Despicable Me 3,Despicable Me 3,2017-06-15,80000000,1034800131,10.726,6.47,7695,90,en,2017
204,353486,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017-12-09,90000000,995339117,13.9059,6.821,14625,119,en,2017
205,315635,Spider-Man: Homecoming,Spider-Man: Homecoming,2017-07-05,175000000,880978185,53.4075,7.331,23396,133,en,2017
206,452557,Wolf Warrior 2,战狼2,2017-07-27,30100000,870325439,4.3688,6.503,339,124,zh,2017
207,283995,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,2017-04-25,200000000,863756051,25.5699,7.61,23113,137,en,2017
208,284053,Thor: Ragnarok,Thor: Ragnarok,2017-10-02,180000000,855301806,26.4085,7.583,22191,131,en,2017
209,297762,Wonder Woman,Wonder Woman,2017-05-30,149000000,823970682,11.3628,7.207,21028,141,en,2017
210,354912,Coco,Coco,2017-10-27,175000000,814641172,32.7319,8.198,21169,105,en,2017
211,166426,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,230000000,795922298,13.6248,6.7,12929,129,en,2017
212,346364,It,It,2017-09-06,35000000,719766009,12.3628,7.24,20476,135,en,2017
213,141052,Justice League,Justice League,2017-11-15,300000000,661326987,12.4099,6.07,13777,120,en,2017
214,263115,Logan,Logan,2017-02-28,97000000,619021436,19.4229,7.8,20574,137,en,2017
215,335988,Transformers: The Last Knight,Transformers: The Last Knight,2017-06-16,217000000,605425157,11.9173,6.06,6805,154,en,2017
216,293167,Kong: Skull Island,Kong: Skull Island,2017-03-08,185000000,566652812,18.0176,6.556,11227,118,en,2017
217,374720,Dunkirk,Dunkirk,2017-07-19,150000000,549136737,16.0479,7.45,17724,107,en,2017
218,295693,The Boss Baby,The Boss Baby,2017-03-23,125000000,527965936,4.0597,6.454,7513,97,en,2017
219,281338,War for the Planet of the Apes,War for the Planet of the Apes,2017-07-11,150000000,490719763,12.2888,7.221,9813,140,en,2017
220,316029,The Greatest Showman,The Greatest Showman,2017-12-20,84000000,459066134,10.2881,7.857,10129,105,en,2017
221,343668,Kingsman: The Golden Circle,Kingsman: The Golden Circle,2017-09-20,104000000,410902662,10.4434,6.946,11224,141,en,2017
222,282035,The Mummy,The Mummy,2017-06-06,125000000,409231607,15.4828,5.521,7709,110,en,2017
223,260514,Cars 3,Cars 3,2017-06-15,175000000,383925276,23.9711,6.865,6479,102,en,2017
